$x1,$x2,$x3,$x4,$x5,$x6,$x7,$x8,$x9,$x10,$x11,$x12,$x13,$x14,$x15,$x16,$x17,$x18,$x19,$x20,$x21,$x22,$x23,$x24,$x25,$x26,$x27,$x28,$x29,$x30,$x31,$x32,$x33,$x34,$x35,$x36,$x37,$x38,$x39,$x40,$x41,$x42,$x43,$x44,$x45,$x46,$x47,$x48,$x49,$x50,>>f1,>>f2,>>f3
2,2,3,0,1,1,0,-1,0,2,3,-1,0,1,-1,3,1,1,0,0,-1,-1,-1,-1,-1,0,2,3,3,1,1,1,0,2,1,1,-1,-1,2,0,2,-1,2,3,1,2,3,0,3,2,95368.0,550,99444.0
1,0,-1,0,1,-1,-1,1,-1,-1,2,1,0,0,0,3,2,2,-1,0,0,-1,3,3,1,2,0,-1,-1,3,1,0,0,1,3,3,3,1,1,-1,3,0,2,2,3,2,1,1,2,2,95182.0,579,99441.0
-1,3,0,1,-1,0,1,2,2,2,2,-1,3,1,3,-1,1,-1,3,0,0,1,-1,-1,0,3,2,2,-1,2,3,2,0,3,0,1,-1,3,0,-1,-1,1,3,1,2,0,1,1,2,0,95481.0,562,99461.0
-1,0,3,3,-1,0,1,1,0,-1,2,0,1,1,1,2,2,-1,1,-1,3,-1,2,3,-1,-1,2,3,1,-1,1,2,0,3,0,-1,0,1,2,2,3,2,0,0,2,1,1,-1,3,0,95497.0,561,99467.0
-1,1,2,1,-1,1,0,-1,3,0,3,1,1,2,-1,2,3,2,3,2,0,-1,2,-1,3,1,2,0,1,0,-1,-1,-1,1,2,0,3,3,-1,0,2,0,1,-1,0,-1,-1,1,0,0,95640.0,535,99501.0
3,-1,3,-1,3,1,-1,0,3,1,1,2,2,2,1,1,-1,0,2,2,2,2,0,0,2,3,-1,-1,1,1,0,3,2,3,1,0,-1,1,3,-1,0,-1,0,0,-1,1,-1,-1,2,3,95608.0,563,99468.0
1,2,-1,1,0,2,0,2,1,3,2,-1,0,1,-1,-1,1,3,-1,3,-1,-1,0,3,3,-1,3,-1,3,2,1,-1,0,0,1,1,0,1,2,0,2,2,0,0,2,2,-1,3,0,1,95345.0,556,99458.0
0,0,1,0,1,2,0,-1,2,1,2,0,-1,-1,-1,2,2,3,2,3,3,0,3,-1,-1,3,2,-1,2,-1,0,2,1,2,3,3,1,0,1,0,1,3,3,1,2,1,0,-1,3,0,95187.0,592,99423.0
3,2,-1,0,2,1,1,2,0,1,3,-1,-1,1,1,-1,2,1,1,-1,0,-1,0,2,0,3,-1,0,0,2,-1,3,2,0,2,3,-1,0,1,1,-1,-1,1,2,1,-1,1,3,3,0,95576.0,540,99484.0
3,1,-1,2,1,2,1,0,2,0,2,1,-1,1,2,1,3,2,1,0,2,0,3,0,1,-1,2,3,3,2,2,-1,0,0,1,-1,0,2,-1,1,0,-1,1,0,0,-1,3,3,3,-1,95199.0,591,99446.0
1,2,1,-1,0,0,-1,-1,1,3,2,0,1,-1,0,2,1,3,-1,1,-1,-1,0,0,3,2,3,0,0,2,1,1,2,2,3,-1,0,-1,1,1,1,-1,1,-1,2,3,2,0,3,-1,95730.0,543,99487.0
0,-1,1,3,0,1,2,0,-1,2,0,3,1,2,2,1,-1,0,3,2,2,3,2,1,-1,1,2,3,1,2,0,1,3,0,-1,1,2,0,-1,2,1,3,2,0,3,-1,3,3,-1,-1,95348.0,582,99450.0
1,-1,1,-1,0,0,2,0,3,2,-1,3,-1,0,2,2,3,-1,1,0,1,-1,3,-1,-1,0,2,1,1,3,0,2,2,3,1,3,-1,0,2,2,0,1,2,-1,2,1,0,2,1,-1,95437.0,570,99470.0
-1,-1,0,2,0,3,-1,1,-1,1,3,2,-1,2,2,3,2,2,-1,1,0,3,1,2,-1,2,3,0,-1,0,2,1,-1,1,2,-1,2,1,-1,2,0,1,2,1,0,-1,-1,1,0,-1,95948.0,512,99522.0
2,0,2,-1,-1,1,-1,-1,3,1,3,2,1,0,0,-1,2,-1,3,1,-1,2,0,-1,3,1,0,2,3,-1,1,2,0,0,2,3,0,2,1,-1,-1,2,3,2,1,1,0,1,1,-1,95692.0,546,99482.0
3,1,-1,1,3,3,2,1,0,1,0,2,1,-1,3,0,-1,2,-1,1,2,0,1,0,1,0,3,3,2,2,0,2,-1,0,1,-1,3,3,0,1,2,0,2,1,2,3,0,-1,2,3,95056.0,620,99405.0
0,3,0,-1,1,0,0,1,-1,3,2,0,3,2,2,3,0,-1,1,2,0,0,2,1,1,-1,3,-1,3,2,-1,3,2,3,1,3,2,0,2,2,1,-1,0,2,0,-1,2,1,1,1,95013.0,613,99411.0
2,2,1,3,2,-1,0,-1,3,0,0,3,1,3,2,3,3,3,0,-1,1,1,0,2,2,0,1,2,1,-1,3,-1,1,-1,0,2,1,-1,3,3,-1,1,1,2,0,-1,-1,0,0,0,95567.0,564,99472.0
-1,0,-1,1,0,-1,3,-1,-1,3,3,3,1,0,2,1,1,1,-1,2,0,2,-1,3,0,3,-1,1,-1,0,1,2,-1,2,3,1,3,3,-1,-1,0,0,-1,0,2,2,2,1,0,2,95648.0,533,99503.0
3,0,0,2,2,1,0,3,1,3,-1,2,1,1,2,2,2,0,3,0,0,3,-1,1,2,0,-1,-1,-1,0,1,0,0,1,1,3,3,2,-1,-1,3,2,3,3,-1,1,1,0,3,2,95186.0,607,99416.0
1,0,3,1,0,2,-1,2,0,1,2,0,0,-1,1,1,-1,1,-1,-1,-1,1,0,3,3,-1,3,1,-1,2,2,1,0,-1,2,2,0,-1,-1,1,1,2,0,3,1,3,0,2,3,2,95461.0,567,99467.0
1,2,0,-1,-1,-1,1,0,0,2,1,-1,-1,2,1,3,0,-1,-1,2,0,3,1,1,2,3,2,0,2,0,0,2,3,2,1,-1,-1,-1,2,0,3,0,1,3,1,-1,1,1,3,1,95561.0,551,99472.0
1,-1,-1,0,-1,3,-1,2,1,1,-1,0,2,2,0,2,2,1,0,1,3,1,-1,2,2,-1,3,3,3,-1,1,2,0,0,2,1,-1,0,2,1,3,0,1,-1,1,-1,0,1,2,-1,95469.0,551,99479.0
1,1,3,2,3,0,2,1,0,3,2,1,1,2,0,-1,1,1,3,2,3,3,3,-1,0,3,0,2,2,-1,-1,2,-1,0,1,0,0,2,1,3,1,0,3,1,0,-1,3,2,0,-1,95060.0,618,99411.0
1,-1,0,3,-1,3,0,1,2,2,3,3,1,2,-1,3,3,2,0,1,1,3,0,1,0,1,2,-1,-1,1,2,0,-1,0,3,1,0,2,2,0,1,2,-1,3,-1,-1,0,-1,2,2,95306.0,576,99437.0
1,-1,2,2,1,3,0,0,2,0,-1,0,0,0,-1,1,1,1,0,-1,1,2,0,2,3,3,-1,2,0,1,3,0,-1,3,2,-1,1,3,1,2,-1,2,-1,0,1,2,2,3,1,-1,95258.0,569,99460.0
2,3,2,-1,2,2,0,0,3,3,0,0,2,2,1,3,0,1,0,3,0,1,1,3,-1,0,0,-1,2,1,1,3,2,3,-1,1,1,-1,3,0,3,-1,0,3,1,1,-1,2,2,1,95166.0,613,99417.0
2,2,0,0,3,-1,1,2,2,-1,3,0,3,0,0,2,1,1,2,1,1,2,0,-1,3,-1,-1,3,3,1,0,0,2,2,1,-1,2,0,-1,1,2,0,-1,-1,1,0,1,1,-1,-1,95444.0,561,99482.0
-1,1,1,3,3,-1,2,-1,0,2,2,1,1,2,3,1,-1,3,2,0,-1,3,-1,3,1,-1,-1,2,-1,2,3,0,2,1,0,-1,1,0,-1,1,1,2,-1,3,3,0,2,2,1,-1,95961.0,522,99513.0
1,1,-1,0,3,2,0,3,3,1,2,3,-1,0,1,1,-1,-1,3,0,2,-1,-1,2,1,1,2,-1,0,2,2,-1,0,0,1,0,0,1,0,-1,2,2,3,1,2,3,-1,0,1,3,95313.0,579,99453.0
0,-1,-1,2,0,-1,1,-1,3,-1,2,2,2,-1,0,2,3,1,-1,1,3,3,3,1,3,0,3,-1,-1,2,0,-1,-1,2,1,2,0,-1,1,0,1,2,-1,1,2,-1,0,0,0,0,95744.0,513,99507.0
2,3,1,-1,-1,2,2,-1,1,3,3,3,2,3,-1,1,0,3,2,0,0,3,-1,1,3,0,3,2,1,0,-1,2,-1,1,0,2,0,1,-1,2,1,-1,1,-1,0,2,3,2,-1,-1,95667.0,548,99474.0
-1,0,0,0,3,0,1,2,2,0,2,2,0,3,0,1,3,1,3,1,0,-1,-1,0,-1,-1,3,-1,1,-1,0,1,-1,-1,2,3,1,2,2,2,2,1,2,0,-1,1,3,0,-1,3,95568.0,564,99469.0
3,3,0,-1,3,1,0,-1,0,1,1,-1,2,1,1,3,0,2,1,2,2,2,-1,0,0,1,0,0,1,-1,0,2,3,-1,0,-1,2,3,1,-1,3,0,3,3,2,2,1,-1,1,3,95325.0,593,99429.0
1,2,3,-1,-1,1,-1,3,2,0,-1,-1,1,-1,2,0,1,0,1,3,0,1,0,3,1,3,0,3,0,3,1,3,3,2,2,0,-1,-1,1,2,1,0,2,2,2,0,-1,2,2,-1,95362.0,581,99454.0
1,0,2,1,2,3,0,0,-1,1,0,3,2,0,1,0,0,1,-1,0,-1,-1,-1,3,3,3,1,3,1,3,0,2,2,-1,-1,3,2,2,-1,2,1,1,0,2,2,3,0,2,2,1,95074.0,604,99423.0
3,0,3,2,-1,1,2,-1,-1,1,2,2,0,2,0,2,-1,0,-1,1,0,2,1,3,3,3,1,-1,1,0,2,3,3,3,2,3,-1,0,2,-1,1,2,-1,2,1,0,1,1,3,0,95370.0,593,99435.0
2,-1,2,0,1,0,2,-1,0,1,-1,-1,3,3,-1,1,3,0,3,0,-1,1,2,3,2,2,2,2,-1,-1,2,1,0,1,1,3,-1,-1,3,-1,2,-1,1,-1,3,0,3,0,-1,3,95964.0,519,99499.0
2,3,3,3,2,3,3,2,2,1,-1,3,3,3,2,1,-1,1,0,3,2,2,2,1,0,1,3,-1,1,0,-1,-1,1,-1,2,0,-1,2,1,0,-1,0,-1,0,-1,-1,0,0,0,1,95491.0,575,99461.0
2,3,0,2,2,-1,2,0,0,2,1,0,3,2,0,2,-1,0,0,2,1,1,1,0,3,2,0,3,1,1,1,1,3,-1,3,-1,2,2,0,-1,-1,1,0,-1,2,-1,1,1,-1,3,95326.0,583,99458.0
3,1,1,2,0,2,3,1,-1,-1,2,0,1,1,2,-1,1,1,3,3,1,3,2,3,2,3,-1,-1,0,2,0,0,0,0,1,3,2,1,1,2,3,3,0,2,0,-1,-1,0,3,2,95228.0,610,99416.0
2,0,3,-1,3,-1,0,-1,1,1,1,0,3,0,3,2,3,0,0,-1,2,3,2,0,0,2,3,1,2,-1,2,2,1,1,2,3,3,-1,1,2,-1,1,0,1,2,1,-1,0,0,1,95297.0,594,99441.0
1,3,2,0,0,0,0,3,3,2,0,2,1,1,1,0,2,-1,2,3,1,3,2,0,-1,3,2,0,1,-1,3,2,1,0,2,-1,2,3,-1,1,3,2,-1,-1,0,-1,0,1,-1,1,95397.0,586,99452.0
-1,1,-1,-1,2,-1,2,2,2,3,0,1,0,2,0,3,1,-1,3,2,2,-1,0,-1,3,0,1,2,0,-1,3,1,3,-1,-1,1,1,2,2,1,0,0,0,1,-1,3,0,0,3,1,95516.0,577,99479.0
2,3,1,2,3,-1,-1,0,-1,0,1,-1,3,-1,1,-1,-1,1,1,0,3,0,2,-1,2,1,-1,2,1,3,2,0,0,2,0,2,1,0,1,-1,3,3,0,2,3,0,1,3,2,3,95464.0,579,99451.0
0,0,1,0,3,-1,2,1,1,3,-1,2,1,3,2,-1,0,2,0,2,2,-1,1,-1,3,2,3,0,2,0,1,2,3,2,0,-1,0,1,0,1,-1,1,0,3,-1,3,1,0,2,1,95066.0,598,99429.0
2,3,1,2,3,3,1,1,0,0,1,3,2,1,3,-1,0,0,-1,1,-1,2,-1,2,3,2,-1,1,1,-1,2,-1,1,0,2,-1,0,1,1,-1,0,0,-1,0,-1,3,0,-1,2,-1,95676.0,533,99491.0
3,1,2,3,1,1,0,1,0,2,2,2,-1,2,-1,3,-1,2,-1,2,2,1,3,2,1,-1,3,0,0,1,1,-1,-1,3,3,3,2,-1,-1,2,0,2,3,3,0,0,-1,1,3,0,95799.0,579,99458.0
3,1,1,-1,-1,2,3,-1,-1,3,1,0,2,0,3,-1,2,-1,-1,2,3,0,-1,0,1,-1,0,2,0,1,3,2,0,-1,1,-1,0,-1,1,0,2,1,-1,2,0,1,0,2,1,-1,95698.0,513,99519.0
-1,2,1,1,0,-1,2,-1,2,-1,0,1,3,2,2,-1,1,-1,3,0,-1,3,1,-1,0,2,-1,-1,1,0,2,3,2,-1,-1,1,1,2,0,-1,-1,2,3,1,2,0,3,1,0,0,95883.0,518,99520.0
3,3,3,2,1,-1,2,1,3,0,1,2,0,2,-1,1,2,1,3,2,1,3,2,-1,0,0,-1,-1,2,2,0,-1,-1,3,0,1,0,3,2,0,0,1,3,3,0,2,-1,0,1,1,95237.0,600,99422.0
-1,0,1,0,2,0,-1,0,0,0,0,-1,3,3,2,1,-1,3,-1,0,1,2,3,3,-1,0,-1,2,-1,0,2,2,1,2,2,1,3,2,3,1,2,-1,0,3,3,-1,3,2,3,3,95697.0,566,99460.0
1,1,3,0,3,-1,0,3,2,2,1,3,1,1,3,0,3,-1,0,3,1,0,1,0,-1,3,-1,1,2,2,-1,3,2,3,2,2,-1,-1,2,0,0,0,1,1,2,-1,1,2,3,2,95344.0,599,99428.0
0,1,3,-1,2,-1,1,0,0,-1,1,-1,0,2,2,-1,1,1,-1,1,-1,-1,2,-1,0,2,3,3,2,-1,3,2,3,0,2,0,1,3,3,0,1,1,1,-1,2,1,2,0,0,2,95396.0,557,99465.0
1,2,-1,2,0,-1,-1,3,2,3,2,3,3,1,2,1,3,-1,3,2,1,3,0,3,0,-1,1,1,3,0,2,2,1,-1,2,-1,0,-1,1,1,2,-1,0,-1,0,3,1,-1,1,-1,95814.0,555,99485.0
3,1,2,-1,0,2,0,2,3,1,2,-1,0,1,2,3,-1,3,2,3,2,3,2,3,-1,0,-1,1,0,1,0,2,3,2,3,3,1,0,1,1,1,-1,0,-1,-1,1,0,-1,1,-1,95555.0,575,99452.0
3,0,-1,3,3,1,-1,-1,3,-1,2,-1,2,1,2,-1,1,2,-1,3,-1,2,1,1,0,3,-1,2,0,0,0,0,1,3,3,0,1,2,2,1,-1,0,0,1,2,-1,2,1,3,1,95600.0,547,99467.0
0,3,0,1,1,3,2,2,-1,1,-1,2,3,0,3,1,1,3,0,2,3,1,0,2,3,-1,-1,2,-1,3,2,0,0,1,0,1,-1,0,1,2,1,3,2,0,-1,-1,3,2,-1,-1,95338.0,577,99454.0
2,1,2,-1,-1,1,3,-1,1,2,-1,2,2,2,1,2,2,2,0,0,-1,3,3,3,0,1,0,3,0,-1,0,-1,1,-1,3,0,3,3,-1,2,-1,2,1,1,1,0,2,0,1,-1,95534.0,559,99477.0
-1,-1,0,0,-1,-1,2,-1,0,2,3,0,3,1,3,-1,-1,0,0,3,3,2,1,0,3,0,1,1,2,-1,3,1,0,1,1,0,2,2,2,-1,2,1,3,0,-1,3,-1,3,-1,2,95759.0,547,99504.0
0,-1,0,-1,-1,3,2,0,1,2,-1,-1,1,1,3,2,0,-1,1,0,2,0,1,-1,2,0,-1,0,-1,3,1,2,2,0,3,-1,-1,3,1,1,2,-1,-1,0,3,3,1,2,-1,3,95753.0,516,99507.0
1,3,-1,3,1,-1,0,2,-1,-1,3,0,1,0,0,3,1,0,2,1,1,-1,2,3,2,2,2,-1,3,-1,2,0,2,1,-1,3,-1,0,-1,1,0,0,1,-1,0,0,2,2,1,3,95343.0,567,99465.0
-1,1,0,2,2,1,2,2,3,1,0,3,0,3,1,-1,-1,0,3,3,1,0,1,3,-1,2,0,-1,1,0,2,-1,2,1,1,2,0,2,-1,1,0,2,3,-1,2,-1,0,0,3,1,95300.0,588,99454.0
3,2,0,2,0,-1,0,3,-1,-1,3,1,-1,1,2,0,1,1,-1,3,2,1,-1,-1,2,-1,1,0,-1,2,-1,0,0,1,1,3,0,3,0,-1,1,2,1,3,2,-1,0,2,-1,2,95516.0,536,99480.0
-1,3,-1,0,-1,1,-1,3,0,1,1,3,-1,2,1,-1,0,2,1,2,2,1,1,0,0,3,1,2,2,-1,-1,0,2,3,2,0,0,3,3,2,0,-1,0,0,-1,3,3,2,1,2,95399.0,592,99459.0
3,0,1,2,1,1,2,-1,-1,3,-1,3,3,-1,1,2,0,1,-1,0,0,2,0,2,1,1,1,3,2,3,3,0,3,-1,0,0,2,3,1,0,3,2,0,2,2,-1,0,2,2,3,95095.0,622,99412.0
0,-1,2,-1,0,2,1,-1,-1,3,2,1,-1,2,-1,0,0,-1,1,-1,2,3,-1,3,2,0,1,0,1,1,-1,2,2,-1,1,3,3,-1,3,2,3,1,1,1,0,-1,2,3,-1,2,95786.0,522,99504.0
-1,-1,-1,-1,3,2,-1,3,0,0,1,1,-1,1,2,-1,1,2,3,0,3,0,-1,0,-1,0,2,-1,1,-1,-1,1,3,2,3,0,2,0,0,1,1,-1,0,0,-1,3,1,-1,2,1,95667.0,520,99509.0
-1,-1,0,1,0,1,-1,2,-1,1,1,2,-1,3,3,0,0,-1,-1,2,3,3,3,2,1,3,2,3,-1,-1,0,2,3,0,2,3,0,1,1,1,1,1,-1,3,-1,0,0,-1,0,2,95609.0,569,99479.0
2,3,3,-1,0,0,0,1,3,0,0,1,3,1,2,0,3,0,2,1,2,1,-1,-1,-1,1,3,1,-1,-1,-1,0,0,1,3,2,2,-1,-1,2,-1,3,1,0,-1,3,1,2,1,-1,95553.0,543,99473.0
2,0,3,3,2,-1,3,1,2,-1,2,0,0,1,0,-1,-1,3,1,2,0,0,2,0,-1,3,3,-1,0,3,-1,1,-1,0,2,1,0,1,1,1,-1,0,3,2,2,2,3,2,1,-1,95464.0,566,99451.0
3,2,3,3,-1,-1,1,-1,-1,0,2,0,1,2,0,-1,0,3,0,-1,0,1,1,2,2,-1,3,0,3,0,2,3,2,2,3,-1,1,3,1,-1,2,1,1,-1,2,0,-1,2,0,-1,95923.0,539,99497.0
3,1,2,-1,0,2,3,1,1,3,-1,3,-1,0,-1,2,-1,1,0,0,2,-1,-1,3,0,1,3,0,0,2,-1,-1,-1,3,1,-1,3,0,1,3,3,2,1,2,0,1,0,-1,1,2,95509.0,554,99464.0
1,0,-1,2,2,2,0,3,1,-1,0,1,0,0,0,3,-1,3,2,2,-1,2,-1,0,2,-1,1,3,-1,1,-1,-1,2,1,0,1,0,0,1,2,0,1,2,0,1,3,3,3,1,3,95011.0,596,99422.0
2,0,3,0,3,1,1,2,3,3,1,2,2,-1,0,0,2,3,-1,0,1,-1,2,0,0,3,-1,1,-1,3,1,-1,0,3,2,-1,2,3,1,-1,0,3,0,2,1,2,1,1,1,2,95357.0,602,99430.0
0,2,0,3,-1,1,3,2,1,-1,-1,2,1,3,0,-1,-1,2,3,-1,3,0,3,0,1,0,2,-1,1,3,1,-1,1,0,2,2,1,1,-1,2,0,-1,0,1,1,3,0,0,2,2,95173.0,576,99448.0
3,3,1,2,2,1,-1,2,-1,-1,-1,2,0,1,2,1,1,2,-1,0,2,2,3,-1,2,0,0,0,1,3,1,1,0,1,3,3,0,3,3,-1,0,2,1,3,0,-1,0,-1,3,1,95146.0,603,99417.0
0,2,0,-1,-1,-1,2,-1,2,0,2,1,3,0,2,-1,2,0,0,3,2,3,3,3,3,2,0,-1,1,0,3,0,1,1,3,0,1,3,2,1,2,1,-1,-1,2,1,0,3,1,-1,95332.0,585,99456.0
0,1,3,-1,0,3,1,3,0,1,1,2,-1,0,3,0,0,-1,2,-1,0,1,1,2,2,0,-1,2,3,1,3,-1,2,2,1,3,3,1,-1,1,1,2,0,-1,0,-1,-1,3,2,3,95442.0,579,99471.0
-1,3,1,0,-1,3,0,0,-1,-1,2,3,-1,0,2,1,-1,-1,1,-1,3,0,3,-1,3,2,-1,-1,3,2,0,0,3,-1,0,2,2,0,1,3,2,1,1,2,0,1,0,2,3,-1,95750.0,535,99507.0
0,0,-1,-1,2,3,-1,2,-1,2,1,1,2,2,3,1,1,-1,-1,0,1,0,2,-1,0,-1,3,2,0,1,-1,1,-1,0,3,-1,1,1,2,0,-1,3,0,2,3,0,-1,2,0,-1,95508.0,524,99501.0
1,1,-1,-1,1,-1,0,0,1,3,0,0,2,0,2,-1,2,0,-1,2,0,1,2,-1,-1,2,3,2,0,0,0,2,1,1,2,-1,1,1,-1,-1,0,3,-1,3,1,-1,2,1,2,3,95443.0,543,99486.0
1,-1,3,3,0,3,2,1,2,3,2,1,2,-1,1,1,3,-1,1,2,3,2,-1,1,1,-1,0,-1,2,2,1,3,0,2,-1,-1,-1,0,3,0,-1,1,1,3,2,-1,0,0,0,0,95419.0,559,99457.0
2,3,0,3,2,3,2,0,-1,1,3,1,3,2,1,0,-1,0,2,1,3,2,0,-1,2,0,1,1,-1,3,1,0,-1,1,2,1,3,0,-1,2,1,2,0,-1,2,-1,3,0,0,3,95154.0,602,99425.0
-1,-1,-1,1,1,2,3,2,0,1,-1,2,-1,2,2,1,3,0,2,3,1,-1,3,0,-1,1,1,-1,2,0,-1,-1,1,0,1,0,-1,0,3,2,0,2,-1,3,1,-1,3,-1,-1,3,95927.0,516,99523.0
-1,-1,-1,-1,-1,3,1,0,2,2,2,3,1,2,2,-1,0,1,2,1,-1,3,0,0,0,2,1,1,-1,3,-1,-1,3,0,3,-1,1,-1,2,-1,-1,0,2,0,-1,3,3,1,3,3,96266.0,506,99530.0
-1,0,1,-1,1,1,2,2,0,2,1,-1,0,1,-1,0,1,1,-1,3,3,-1,2,2,3,0,-1,0,3,2,2,1,3,2,3,-1,0,3,0,0,1,-1,1,0,1,2,3,0,2,-1,95414.0,570,99461.0
0,2,-1,0,2,-1,0,-1,3,-1,2,1,2,-1,1,1,-1,0,3,3,2,3,-1,0,-1,2,0,3,-1,2,1,2,-1,3,1,0,3,-1,2,2,0,2,0,3,1,0,3,-1,1,1,95527.0,538,99469.0
2,3,0,3,1,3,1,2,-1,0,0,3,0,0,-1,1,2,-1,2,0,3,2,-1,1,1,-1,1,2,2,1,0,1,0,-1,2,3,-1,-1,0,3,0,3,0,3,-1,-1,1,-1,1,0,95218.0,575,99443.0
-1,1,2,-1,-1,1,0,0,1,0,-1,1,0,2,0,3,-1,0,3,2,2,0,2,2,0,2,2,1,3,0,1,1,1,0,3,1,2,-1,3,0,3,-1,3,0,3,1,-1,2,2,-1,95299.0,589,99461.0
-1,-1,3,-1,0,2,2,1,-1,1,0,-1,0,2,2,0,3,3,0,2,3,-1,-1,0,2,-1,2,-1,1,1,0,0,-1,-1,1,1,0,1,3,-1,3,0,2,0,1,2,3,0,-1,1,95529.0,541,99492.0
-1,3,2,3,-1,-1,1,0,0,-1,1,0,1,-1,0,0,0,1,2,1,2,0,-1,-1,3,2,1,3,3,-1,-1,1,2,-1,3,2,1,3,1,-1,2,0,0,3,0,2,-1,2,1,1,95530.0,561,99480.0
2,0,1,1,-1,3,2,0,-1,2,2,2,2,0,2,1,2,0,0,2,3,1,3,-1,0,0,3,-1,-1,3,1,-1,1,2,3,-1,1,1,2,0,1,2,3,-1,-1,-1,3,3,3,0,95508.0,569,99447.0
-1,0,0,2,1,3,-1,-1,2,-1,0,0,2,0,2,1,3,2,2,2,3,2,-1,3,3,0,-1,1,3,0,-1,3,1,1,2,2,0,0,1,-1,3,-1,1,1,2,1,0,3,0,-1,95300.0,588,99450.0
2,3,2,3,3,1,3,-1,0,1,3,1,0,3,2,1,1,2,1,3,2,0,-1,-1,-1,-1,0,2,1,3,-1,0,0,0,0,3,1,0,0,1,-1,-1,-1,1,-1,2,0,2,2,3,95180.0,580,99438.0
2,2,1,3,3,0,2,3,0,-1,-1,3,1,0,1,-1,0,-1,2,2,0,2,1,3,-1,3,3,-1,1,1,3,-1,1,-1,2,3,0,0,2,0,1,0,0,2,1,3,-1,-1,0,1,95406.0,583,99445.0
3,3,3,2,0,3,0,1,0,2,0,0,2,0,2,0,-1,0,3,0,1,-1,3,2,2,3,-1,1,3,1,3,2,1,1,-1,3,1,2,1,1,-1,2,0,0,1,-1,1,2,-1,2,95216.0,603,99433.0
0,1,0,3,-1,2,3,-1,1,3,2,2,2,0,0,0,-1,2,2,-1,3,0,1,-1,-1,-1,1,3,1,3,1,0,1,1,2,3,0,-1,1,2,2,-1,2,0,-1,0,3,1,-1,3,95531.0,553,99468.0
2,3,-1,0,-1,3,0,0,-1,-1,0,0,1,1,1,3,2,0,3,0,1,2,3,2,3,0,2,-1,-1,1,1,3,2,1,-1,-1,-1,2,1,3,1,2,-1,2,1,3,0,1,1,0,95294.0,576,99447.0
2,0,-1,2,-1,-1,2,0,2,1,0,3,3,-1,2,0,1,2,2,3,0,-1,-1,-1,3,2,-1,3,2,1,3,-1,0,2,2,0,-1,3,1,1,0,-1,3,1,1,3,3,2,1,-1,95811.0,543,99478.0
